<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
<a href = "matlab: helpview('optim','feasible_better_objective','CSHelpWindow');">Feasible point with lower objective function value found</a>.


Optimization stopped because the <a href = "matlab: helpview('optim','norm_curr_step_fminconip','CSHelpWindow');">relative changes in all elements of x</a> are
less than <a href = "matlab: helpview('optim','tolx','CSHelpWindow');">options.StepTolerance</a> = 1.000000e-10, and the relative maximum constraint
violation, 0.000000e+00, is less than <a href = "matlab: helpview('optim','tol_con','CSHelpWindow');">options.ConstraintTolerance</a> = 1.000000e-06.

<strong><< OPTIMIZATION COMPLETE >></strong>

Optimization Processing Time:
Total                = 21.9701 seconds
Avg. per Iteration   = 0.1099 seconds
Avg. per Func. Eval. = 0.0137 seconds

<strong>> Table 1 - States</strong>
                         <strong>Value</strong> 
                        <strong>_______</strong>

    <strong>1) xe    [m]    </strong>     0.0000
    <strong>2) ye    [m]    </strong>     0.0000
    <strong>3) ze    [m]    </strong>    -5.0000
    <strong>4) u     [m/s]  </strong>    49.7550
    <strong>5) v     [m/s]  </strong>     0.0000
    <strong>6) w     [m/s]  </strong>     4.9463
    <strong>7) phi   [deg]  </strong>     0.0000
    <strong>8) theta [deg]  </strong>     5.6771
    <strong>9) psi   [deg]  </strong>     0.0000
    <strong>10) p    [deg/s]</strong>     0.0000
    <strong>11) q    [deg/s]</strong>     0.0000
    <strong>12) r    [deg/s]</strong>     0.0000


<strong>> Table 2 - Control Inputs</strong>
                           <strong>Value</strong> 
                          <strong>_______</strong>

    <strong>1) dAileron  [deg]</strong>     0.0000
    <strong>2) dRudder   [deg]</strong>     0.0000
    <strong>3) dElevator [deg]</strong>    -8.2827
    <strong>4) dFlap     [deg]</strong>     5.0000
    <strong>5) DEP_col   [deg]</strong>     0.3438
    <strong>6) DEP_slope [deg]</strong>     0.0000
    <strong>7) HTU       [deg]</strong>     0.1329


<strong>> Table 3 - Accelerations</strong>
                             <strong>Value</strong> 
                            <strong>_______</strong>

    <strong>1) xedot    [m/s]   </strong>    50.0003
    <strong>2) yedot    [m/s]   </strong>     0.0000
    <strong>3) zedot    [m/s]   </strong>     0.0002
    <strong>4) udot     [m/s2]  </strong>     0.0006
    <strong>5) vdot     [m/s2]  </strong>     0.0000
    <strong>6) wdot     [m/s2]  </strong>     0.0011
    <strong>7) phidot   [deg/s] </strong>     0.0000
    <strong>8) thetadot [deg/s] </strong>     0.0000
    <strong>9) psidot   [deg/s] </strong>     0.0000
    <strong>10) pdot    [deg/s2]</strong>    -0.0000
    <strong>11) qdot    [deg/s2]</strong>    -0.0000
    <strong>12) rdot    [deg/s2]</strong>    -0.0000


Va_actual =

   50.0003


Va_error =

   2.8571e-04


f0 =

   1.6876e-06

