<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  164    1202    4.429838e-03    0.000e+00    4.144e+00    1.704e-04
  165    1214    4.428855e-03    0.000e+00    6.635e-01    2.902e-06
  166    1225    4.428395e-03    0.000e+00    3.525e+00    1.506e-06
  167    1231    4.427307e-03    0.000e+00    4.672e+00    9.907e-05
  168    1237    4.394531e-03    0.000e+00    1.266e+00    4.452e-05
  169    1243    4.346445e-03    0.000e+00    9.557e-01    7.634e-05
  170    1249    4.206754e-03    0.000e+00    8.750e+00    5.907e-04
  171    1255    4.162009e-03    0.000e+00    4.214e+00    3.499e-04
  172    1261    4.172890e-03    0.000e+00    4.092e+00    1.100e-04
  173    1267    4.174983e-03    0.000e+00    1.231e+00    1.722e-04
  174    1276    4.174038e-03    0.000e+00    1.107e+00    6.417e-06
  175    1282    4.154914e-03    0.000e+00    1.549e+00    8.060e-05
  176    1288    4.152175e-03    0.000e+00    5.606e+00    1.461e-05
  177    1294    3.946985e-03    0.000e+00    2.170e+00    9.773e-04
  178    1310    3.947252e-03    0.000e+00    8.338e-01    7.386e-06
  179    1316    3.929298e-03    0.000e+00    3.078e+00    7.169e-04
  180    1322    3.921990e-03    0.000e+00    3.748e+00    1.123e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  181    1335    3.921869e-03    0.000e+00    1.068e+00    1.473e-07
  182    1341    3.903793e-03    0.000e+00    1.301e+00    6.393e-05
  183    1347    3.820090e-03    0.000e+00    1.830e+00    9.108e-05
  184    1353    3.255427e-03    0.000e+00    1.528e+00    1.897e-04
  185    1359    2.222217e-03    0.000e+00    4.881e+00    7.080e-04
  186    1374    2.224198e-03    0.000e+00    3.013e+00    1.598e-05
  187    1380    2.221741e-03    0.000e+00    3.971e+00    3.810e-05
  188    1386    2.214697e-03    0.000e+00    2.800e+00    1.254e-05
  189    1392    2.200265e-03    0.000e+00    9.429e+00    2.081e-05
  190    1398    1.381845e-03    0.000e+00    1.724e+00    1.197e-03
  191    1404    1.262651e-03    0.000e+00    2.221e+00    9.723e-05
  192    1411    1.237545e-03    0.000e+00    9.005e+00    8.070e-04
  193    1417    1.210884e-03    0.000e+00    3.955e+00    5.739e-04
  194    1423    1.188696e-03    0.000e+00    1.874e+00    2.508e-04
